"Genus","logFC","SE","p","q_ANCOM","significant","enriched_in","stat","p.value","q_IndVal","associated_group"
"Alteromonas",-0.08049808601598,0.205748017839252,0.707251484781769,0.815569279748346,FALSE,"Not significant",0.379729778824229,0.5807,0.883995541401274,"Diffuse"
"Incertae_Sedis.9",0.0729564564232672,0.196240626536925,0.718665859667357,0.821332411048408,FALSE,"Not significant",0.425213847311737,0.1555,0.571761538461538,"Diffuse"
"Unclassified_Lachnospiraceae",-0.136845081054655,0.396004077816413,0.732560718740288,0.829803292024398,FALSE,"Not significant",0.691220980496725,0.3666,0.768573684210526,"Diffuse"
"Neisseria",-0.109617784053152,0.337240259054322,0.746724324006147,0.838427311164796,FALSE,"Not significant",0.72184685212476,0.8258,1,"Diffuse"
"Rothia",0.089998023728324,0.323305282051492,0.782063723699491,0.870470927248129,FALSE,"Not significant",0.707456434915168,0.9954,1,"Diffuse"
"Granulicatella",-0.0706657151354305,0.293848970538605,0.811154195229958,0.887416555465253,FALSE,"Not significant",0.749642854238619,0.2222,0.671730588235294,"Diffuse"
"Peptostreptococcus",0.0587097849198685,0.243732977431645,0.810794927948517,0.887416555465253,FALSE,"Not significant",0.741185396557662,0.5888,0.887155974842767,"Diffuse"
"Incertae_Sedis.5",0.0480911995522016,0.206578011331888,0.821125319335403,0.890712210804505,FALSE,"Not significant",0.779249719830924,0.4858,0.835296402877698,"Diffuse"
"Incertae_Sedis.1",0.0578699395252563,0.283736732127211,0.840959112369108,0.904561062044082,FALSE,"Not significant",0.517583866257375,0.1307,0.548022807017544,"Diffuse"
"Hydrogenophilus",0.0595987064055563,0.312782093821984,0.849871398510382,0.906529491744408,FALSE,"Not significant",0.79538195892647,0.6782,0.926227428571429,"Diffuse"
"Streptococcus",-0.0362489588501319,0.305975661524318,0.906246919187215,0.95867442690879,FALSE,"Not significant",0.741084394748708,0.516,0.860865584415584,"Diffuse"
"Cardiobacterium",-0.016298720984107,0.177368033661952,0.928796644230121,0.966552605377687,FALSE,"Not significant",0.357182445532992,0.926,1,"Diffuse"
"Sphingomonas",-0.0240880962801631,0.258336438468683,0.926686633831935,0.966552605377687,FALSE,"Not significant",0.804710731232852,3e-04,0.0307285714285714,"Diffuse"
"Hoylesella",0.0188167153841743,0.360953406655911,0.958684111951047,0.978275227027038,FALSE,"Not significant",0.784924444357372,0.2239,0.671730588235294,"Diffuse"
"Catonella",-0.00855538369674402,0.181322590752565,0.962989676604741,0.978275227027038,FALSE,"Not significant",0.431237331407895,0.9801,1,"Diffuse"
"Brucella",-0.011532807797863,0.225830162381785,0.959866196273184,0.978275227027038,FALSE,"Not significant",0.528712755518094,0.4749,0.835296402877698,"Diffuse"
"Megasphaera",-0.00464480729978688,0.255564863888536,0.985602723546639,0.993363374913148,FALSE,"Not significant",0.712551303414353,0.2645,0.710286516853933,"Diffuse"
"Unclassified_NA.2",2.04598023157932e-05,0.219997717362863,0.999927825455558,0.999927825455558,FALSE,"Not significant",0.408248290463863,0.2357,0.671730588235294,"Diffuse"
"Arcobacter",NA,NA,NA,NA,NA,NA,0.673594873091213,1e-04,0.0239,"Diffuse"
"Marinobacterium",NA,NA,NA,NA,NA,NA,0.616849735767625,0.0016,0.0424888888888889,"Diffuse"
"Mammalia",NA,NA,NA,NA,NA,NA,0.577350269189626,0.002,0.0478,"Diffuse"
"Incertae_Sedis.25",NA,NA,NA,NA,NA,NA,0.577350269189626,0.003,0.0651818181818182,"Diffuse"
"Salinisphaera",NA,NA,NA,NA,NA,NA,0.575054640258169,0.0091,0.13593125,"Diffuse"
"Ezakiella",NA,NA,NA,NA,NA,NA,0.509053417409904,0.0154,0.180957142857143,"Diffuse"
"Romboutsia",NA,NA,NA,NA,NA,NA,0.509695370445272,0.0158,0.180957142857143,"Diffuse"
"Christensenellaceae_R-7_group",NA,NA,NA,NA,NA,NA,0.504638658933014,0.0159,0.180957142857143,"Diffuse"
"Flavobacterium",NA,NA,NA,NA,NA,NA,0.51475771764977,0.0232,0.212787096774194,"Diffuse"
"Incertae_Sedis.35",NA,NA,NA,NA,NA,NA,0.545687589690725,0.023,0.212787096774194,"Diffuse"
"Tannerella",NA,NA,NA,NA,NA,NA,0.577350269189626,0.0289,0.215846875,"Diffuse"
"Unclassified_NA.6",NA,NA,NA,NA,NA,NA,0.609950640155408,0.0355,0.257106060606061,"Diffuse"
"Cloacibacterium",NA,NA,NA,NA,NA,NA,0.46686746219745,0.0397,0.279067647058824,"Diffuse"
"Incertae_Sedis.30",NA,NA,NA,NA,NA,NA,0.531971610958565,0.0459,0.304725,"Diffuse"
"Buchnera",NA,NA,NA,NA,NA,NA,0.422608495853184,0.0524,0.338475675675676,"Diffuse"
"Psychrobacter",NA,NA,NA,NA,NA,NA,0.503526569524158,0.064,0.3824,"Diffuse"
"Atopostipes",NA,NA,NA,NA,NA,NA,0.515711333651901,0.0619,0.3824,"Diffuse"
"Incertae_Sedis.33",NA,NA,NA,NA,NA,NA,0.498999905693804,0.063,0.3824,"Diffuse"
"Incertae_Sedis.42",NA,NA,NA,NA,NA,NA,0.545389255354132,0.0695,0.386290697674419,"Diffuse"
"Prevotellaceae_UCG-001",NA,NA,NA,NA,NA,NA,0.596828887202339,0.1152,0.529476923076923,"Diffuse"
"Butyrivibrio",NA,NA,NA,NA,NA,NA,0.492657499309802,0.1142,0.529476923076923,"Diffuse"
"Lawsonella",NA,NA,NA,NA,NA,NA,0.45187558208873,0.1221,0.540405555555555,"Diffuse"
"Aeromonas",NA,NA,NA,NA,NA,NA,0.483885646438083,0.148,0.571761538461538,"Diffuse"
"Acidiferrimicrobium",NA,NA,NA,NA,NA,NA,0.434726264400404,0.1442,0.571761538461538,"Diffuse"
"Incertae_Sedis.22",NA,NA,NA,NA,NA,NA,0.585757809236804,0.1551,0.571761538461538,"Diffuse"
"Unclassified_Rhizobiaceae",NA,NA,NA,NA,NA,NA,0.422553219618797,0.1545,0.571761538461538,"Diffuse"
"Alloscardovia",NA,NA,NA,NA,NA,NA,0.416474433054687,0.1657,0.600034848484848,"Diffuse"
"Aquicella",NA,NA,NA,NA,NA,NA,0.408248290463863,0.1842,0.634191549295775,"Diffuse"
"Incertae_Sedis.40",NA,NA,NA,NA,NA,NA,0.472361532188227,0.1884,0.634191549295775,"Diffuse"
"Hornefia",NA,NA,NA,NA,NA,NA,0.408248290463863,0.1992,0.646591891891892,"Diffuse"
"Streptobacillus",NA,NA,NA,NA,NA,NA,0.408248290463863,0.2002,0.646591891891892,"Diffuse"
"Incertae_Sedis.38",NA,NA,NA,NA,NA,NA,0.494776576797383,0.2103,0.670156,"Diffuse"
"Rubritalea",NA,NA,NA,NA,NA,NA,0.383616371532007,0.2203,0.671730588235294,"Diffuse"
"Incertae_Sedis.19",NA,NA,NA,NA,NA,NA,0.408248290463863,0.2384,0.671730588235294,"Diffuse"
"Acholeplasma",NA,NA,NA,NA,NA,NA,0.40869071317665,0.2363,0.671730588235294,"Diffuse"
"Incertae_Sedis.24",NA,NA,NA,NA,NA,NA,0.643066684218182,0.2316,0.671730588235294,"Diffuse"
"Defluviitaleaceae_UCG-011",NA,NA,NA,NA,NA,NA,0.438164434500517,0.2167,0.671730588235294,"Diffuse"
"Haematobacter",NA,NA,NA,NA,NA,NA,0.408248290463863,0.2389,0.671730588235294,"Diffuse"
"Dongia",NA,NA,NA,NA,NA,NA,0.40533067900096,0.2296,0.671730588235294,"Diffuse"
"Proteiniphilum",NA,NA,NA,NA,NA,NA,0.392249369154285,0.2442,0.675518390804598,"Diffuse"
"Incertae_Sedis.27",NA,NA,NA,NA,NA,NA,0.698224088213391,0.2539,0.689569318181818,"Diffuse"
"Luteolibacter",NA,NA,NA,NA,NA,NA,0.381295902644086,0.2696,0.715937777777778,"Diffuse"
"Unclassified_Clostridiaceae",NA,NA,NA,NA,NA,NA,0.435665945662207,0.2769,0.722139784946237,"Diffuse"
"Pirellula",NA,NA,NA,NA,NA,NA,0.358197162532206,0.2793,0.722139784946237,"Diffuse"
"Terrisporobacter",NA,NA,NA,NA,NA,NA,0.355921391869243,0.3055,0.729778217821782,"Diffuse"
"[Eubacterium]_saphenum_group",NA,NA,NA,NA,NA,NA,0.378010661177077,0.3069,0.729778217821782,"Diffuse"
"Incertae_Sedis.32",NA,NA,NA,NA,NA,NA,0.358417034608914,0.3084,0.729778217821782,"Diffuse"
"Unclassified_NA.5",NA,NA,NA,NA,NA,NA,0.403609568952511,0.2982,0.729778217821782,"Diffuse"
"Methylobacterium",NA,NA,NA,NA,NA,NA,0.365833948633638,0.3077,0.729778217821782,"Diffuse"
"Sphingobacterium",NA,NA,NA,NA,NA,NA,0.340831248718474,0.3209,0.738292727272727,"Diffuse"
"Rikenellaceae_RC9_gut_group",NA,NA,NA,NA,NA,NA,0.423837362451854,0.3375,0.738292727272727,"Diffuse"
"Incertae_Sedis.21",NA,NA,NA,NA,NA,NA,0.347985901660219,0.3398,0.738292727272727,"Diffuse"
"Sphingobium",NA,NA,NA,NA,NA,NA,0.38903067530024,0.3246,0.738292727272727,"Diffuse"
"Phascolarctobacterium",NA,NA,NA,NA,NA,NA,0.356726983756833,0.353,0.753276785714286,"Diffuse"
"Methylorubrum",NA,NA,NA,NA,NA,NA,0.342051015576381,0.3505,0.753276785714286,"Diffuse"
"Incertae_Sedis.31",NA,NA,NA,NA,NA,NA,0.381346091198152,0.3836,0.790348275862069,"Diffuse"
